Period,Fund name,ABN,Merger,Merged,Acquirer,NetAssets,MemFlowIn,MemFlowOut,InRoll,SMSFIn,SFTIn,OutRoll,SMSFOut,SFTOut,1YrRet,Merger_y,Merged_y,Acquirer_y,AvgMemBal,Fail,NetFlowsIn,NetFlowsOut,TotalFundFlows,FundOutflowRatio,Log_AvgMemBal,Lag_1YrRet,FlowRatio,NetRollIn,NetRollOut
2021-06-30,CSS Fund,19415776361.0,0.0,0.0,0,63026394.0,4104182.0,4426285.0,1385.0,7,0.0,82970.0,2957,0.0,0.409,0.0,0.0,0,583000000000.0,0.0,4105567.0,4509255.0,8614822.0,0.5234298514815512,13.275944180597024,-0.00941488971464141,4105566.928454498,1385.0,82970.0
2022-06-30,CSS Fund,19415776361.0,0.0,0.0,0,61626814.0,4369999.0,4660297.0,1463.0,38,0.0,96857.0,1903,0.0,-0.179,0.0,0.0,0,602000000000.0,0.0,4371462.0,4757154.0,9128616.0,0.5211254367584308,13.308014385419147,0.409,4371461.922807075,1463.0,96857.0
2020-06-30,CUBS Superannuation Fund,90120177925.0,0.0,0.0,0,77256.0,2820.0,6312.0,9103.0,0,0.0,3204.0,0,0.0,0.003,0.0,0.0,0,67000000000.0,0.0,11923.0,9516.0,21439.0,0.4438639861933859,11.112462823634855,0.035,11922.876825100962,9103.0,3204.0
2021-06-30,CUBS Superannuation Fund,90120177925.0,0.0,0.0,0,79926.0,3008.0,4842.0,4789.0,0,0.0,3786.0,0,0.0,0.101,0.0,0.0,0,79000000000.0,0.0,7797.0,8628.0,16425.0,0.525296803652968,11.277215789596893,0.003,7796.892050146385,4789.0,3786.0
2020-06-30,Care Super,98172275725.0,0.0,0.0,0,16312507.0,879283.0,680430.0,449299.0,35373,0.0,664822.0,76715,0.0,-0.006,0.0,0.0,0,70000000000.0,0.0,1328582.0,1345252.0,2673834.0,0.503117246620396,11.156264806643742,0.064,1328581.9175324799,449299.0,664822.0
2021-06-30,Care Super,98172275725.0,0.0,0.0,0,16222728.0,950268.0,635233.0,475697.0,27160,191445.0,474972.0,73948,0.0,0.168,0.0,0.0,0,86000000000.0,0.0,1234520.0,1110205.0,2344725.0,0.47349049462090437,11.362114203075018,-0.006,1234519.931564839,284252.0,474972.0
2022-06-30,Care Super,98172275725.0,0.0,0.0,0,19291972.0,1080273.0,452582.0,301952.0,18443,0.0,676245.0,78487,0.0,-0.019,0.0,0.0,0,86000000000.0,0.0,1382225.0,1128827.0,2511052.0,0.4495434582796374,11.362114203075018,0.168,1382224.9414872155,301952.0,676245.0
2021-06-30,Centric Super Fund,91593544166.0,0.0,0.0,0,,9637.0,895.0,107133.0,8293,0.0,0.0,0,0.0,0.039,0.0,0.0,0,358000000000.0,0.0,116770.0,895.0,117665.0,0.007606340033144946,12.788291058675025,,,107133.0,0.0
2022-06-30,Centric Super Fund,91593544166.0,0.0,0.0,0,,,,,*,,,*,,,0.0,0.0,0,,0.0,,,,,,0.039,,,
2020-06-30,Challenger Retirement Fund,87883998803.0,0.0,0.0,0,638860.0,7976.0,63436.0,5693.0,0,0.0,49785.0,1545,0.0,0.021,0.0,0.0,0,152000000000.0,0.0,13669.0,113221.0,126890.0,0.892276775159587,11.931642378754141,0.042,13668.822776508156,5693.0,49785.0
2021-06-30,Challenger Retirement Fund,87883998803.0,0.0,0.0,0,551529.0,7829.0,56978.0,37125.0,0,0.0,46901.0,2182,0.0,0.017,0.0,0.0,0,154000000000.0,0.0,44954.0,103879.0,148833.0,0.6979567703399112,11.944714374881176,0.021,44953.811652696415,37125.0,46901.0
2022-06-30,Challenger Retirement Fund,87883998803.0,0.0,0.0,0,501045.0,3005.0,50263.0,28841.0,0,0.0,36412.0,971,0.0,-0.034,0.0,0.0,0,154000000000.0,0.0,31846.0,86675.0,118521.0,0.7313050008015457,11.944714374881176,0.017,31845.82701154587,28841.0,36412.0
2020-06-30,Christian Super,66628776348.0,0.0,0.0,0,1602922.0,115689.0,53330.0,69138.0,212,0.0,65954.0,7320,0.0,-0.006,0.0,0.0,0,57000000000.0,0.0,184827.0,119284.0,304111.0,0.3922383603355354,10.950824090522445,0.058,184826.9255834033,69138.0,65954.0
2021-06-30,Christian Super,66628776348.0,0.0,0.0,0,1656307.0,128110.0,56804.0,54384.0,893,0.0,67428.0,10272,0.0,0.167,0.0,0.0,0,66000000000.0,0.0,182494.0,124232.0,306726.0,0.4050259841030757,11.097425172408931,-0.006,182493.92499458132,54384.0,67428.0
2022-06-30,Christian Super,66628776348.0,0.0,0.0,0,1994094.0,140733.0,51407.0,50704.0,415,0.0,174855.0,11205,0.0,-0.007,0.0,0.0,0,64000000000.0,1.0,191437.0,226262.0,417699.0,0.5416867169899856,11.06665398721974,0.167,191436.8865339347,50704.0,174855.0
2020-06-30,ClearView Retirement Plan,45828721007.0,0.0,0.0,0,1991291.0,66578.0,152275.0,322497.0,10549,0.0,91432.0,5191,0.0,-0.018,0.0,0.0,0,45000000000.0,0.0,389075.0,243707.0,632782.0,0.3851357971623719,10.714439990727769,0.053,389074.8776135683,322497.0,91432.0
2021-06-30,ClearView Retirement Plan,45828721007.0,0.0,0.0,0,2054861.0,67903.0,146585.0,210550.0,6435,0.0,103572.0,4577,869.0,0.115,0.0,0.0,0,170000000000.0,0.0,278453.0,249288.0,527741.0,0.4723680744910856,12.04355959836804,-0.018,278452.878683765,210550.0,102703.0
2022-06-30,ClearView Retirement Plan,45828721007.0,0.0,0.0,0,2302195.0,77953.0,135133.0,110776.0,4687,0.0,129223.0,2867,0.0,-0.071,0.0,0.0,0,155000000000.0,0.0,188729.0,264356.0,453085.0,0.5834578500722822,11.951186847493476,0.115,188728.88517219436,110776.0,129223.0
2020-06-30,Club Plus Superannuation Scheme,95275115088.0,0.0,0.0,0,2945614.0,161343.0,183872.0,60732.0,0.0,0.0,124545.0,6511.0,0.0,-0.019,0.0,0.0,0,42000000000.0,0.0,222075.0,308417.0,530492.0,0.581379172541716,10.645448706505872,0.062,222074.8952961929,60732.0,124545.0
2021-06-30,Club Plus Superannuation Scheme,95275115088.0,0.0,1.0,AustralianSuper,2794304.0,164663.0,169844.0,35961.0,0.0,0.0,97115.0,6747.0,0.0,0.146,0.0,1.0,AustralianSuper,51000000000.0,0.0,200624.0,266959.0,467583.0,0.5709339304465731,10.839600519357369,-0.019,200623.90446315074,35961.0,97115.0
